date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:35	74268/74268	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2014:58:46%20GMT	https://www.lumchang.com.sg/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/index.html	(from )
20:26:35	117/117	---MC-	200	added ('OK')	text/plain	date:Tue,%2010%20Jan%202023%2015:27:52%20GMT	https://www.lumchang.com.sg/robots.txt		(from )
20:26:36	1743/1743	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2009%20Jan%202023%2004:11:53%20GMT	https://www.lumchang.com.sg/feed/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/feed/index.html	(from https://www.lumchang.com.sg/)
20:26:36	94889/94889	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2001:21:16%20GMT	https://www.lumchang.com.sg/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://www.lumchang.com.sg/)
20:26:36	217/217	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2001:37:55%20GMT	https://www.lumchang.com.sg/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-includes/css/classic-themes.min68b3.css	(from https://www.lumchang.com.sg/)
20:26:36	783/783	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2009%20Jan%202023%2004:11:53%20GMT	https://www.lumchang.com.sg/comments/feed/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/comments/feed/index.html	(from https://www.lumchang.com.sg/)
20:26:36	2731/2731	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Sep%202022%2006:48:06%20GMT	https://www.lumchang.com.sg/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.3	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/plugins/contact-form-7/includes/css/styles42f0.css	(from https://www.lumchang.com.sg/)
20:26:37	316/316	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Sep%202022%2006:49:32%20GMT	https://www.lumchang.com.sg/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.min.css?ver=6.1.1	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.min6a4d.css	(from https://www.lumchang.com.sg/)
20:26:37	11224/11224	---M--	200	added ('OK')	application/javascript	date:Fri,%2012%20Feb%202021%2006:21:30%20GMT	https://www.lumchang.com.sg/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.lumchang.com.sg/)
20:26:37	89684/89684	---M--	200	added ('OK')	application/javascript	date:Wed,%2002%20Nov%202022%2001:37:54%20GMT	https://www.lumchang.com.sg/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-includes/js/jquery/jquery.mina7a0.js	(from https://www.lumchang.com.sg/)
20:26:37	828/828	---MC-	200	added ('OK')	text/xml	date:Tue,%2010%20Jan%202023%2015:27:55%20GMT	https://www.lumchang.com.sg/xmlrpc.php?rsd	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/xmlrpc0db0.php	(from https://www.lumchang.com.sg/)
20:26:38	1045/1045	---M--	200	added ('OK')	application/xml	date:Tue,%2010%20Jan%202023%2015:27:55%20GMT	https://www.lumchang.com.sg/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-includes/wlwmanifest.xml	(from https://www.lumchang.com.sg/)
20:26:38	209705/209705	---MC-	200	added ('OK')	application/json	date:Tue,%2010%20Jan%202023%2015:27:55%20GMT	https://www.lumchang.com.sg/wp-json/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-json/index.html	(from https://www.lumchang.com.sg/)
20:26:38	102950/102950	---M--	200	added ('OK')	image/x-icon	date:Sun,%2011%20Sep%202022%2014:00:32%20GMT	https://www.lumchang.com.sg/wp-content/themes/lumchang/favicon.ico	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/themes/lumchang/favicon.ico	(from https://www.lumchang.com.sg/)
20:26:40	875/875	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Sep%202022%2006:46:26%20GMT	https://www.lumchang.com.sg/wp-content/themes/lumchang/style.css?v=1.2	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/themes/lumchang/style7839.css	(from https://www.lumchang.com.sg/)
20:26:41	89523/89523	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2011:48:12%20GMT	https://www.lumchang.com.sg/wp-content/themes/lumchang/js/jquery-1.12.4.min.js	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/themes/lumchang/js/jquery-1.12.4.min.js	(from https://www.lumchang.com.sg/)
20:26:41	138172/138172	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Nov%202022%2011:13:42%20GMT	https://www.lumchang.com.sg/wp-content/themes/lumchang/css/style.css	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/themes/lumchang/css/style.css	(from https://www.lumchang.com.sg/)
20:26:41	10795/10795	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Sep%202022%2014:42:18%20GMT	https://www.lumchang.com.sg/wp-content/themes/lumchang/js/main-script.js	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/themes/lumchang/js/main-script.js	(from https://www.lumchang.com.sg/)
20:26:42	310981/310981	---M--	200	added ('OK')	application/javascript	date:Sat,%2010%20Sep%202022%2003:44:10%20GMT	https://www.lumchang.com.sg/wp-content/themes/lumchang/js/plugin.min.js	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/themes/lumchang/js/plugin.min.js	(from https://www.lumchang.com.sg/)
20:26:42	10592/10592	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Sep%202022%2008:45:40%20GMT	https://www.lumchang.com.sg/wp-content/uploads/2022/09/Lum-Chang-Logo.png	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/uploads/2022/09/Lum-Chang-Logo.png	(from https://www.lumchang.com.sg/)
20:26:42	1941/1941	---M--	200	added ('OK')	image/png	date:Sat,%2010%20Sep%202022%2008:02:12%20GMT	https://www.lumchang.com.sg/wp-content/themes/lumchang/images/search-icon.png	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/themes/lumchang/images/search-icon.png	(from https://www.lumchang.com.sg/)
20:26:42	394345/394345	---M--	200	added ('OK')	text/css	date:Sun,%2011%20Sep%202022%2010:26:14%20GMT	https://www.lumchang.com.sg/wp-content/themes/lumchang/css/plugins.css	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/themes/lumchang/css/plugins.css	(from https://www.lumchang.com.sg/)
20:26:42	1744/1744	---M--	200	added ('OK')	image/png	date:Sat,%2010%20Sep%202022%2008:01:58%20GMT	https://www.lumchang.com.sg/wp-content/themes/lumchang/images/search-icon2.png	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/themes/lumchang/images/search-icon2.png	(from https://www.lumchang.com.sg/)
20:26:43	59493/59493	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2012:52:35%20GMT	https://www.lumchang.com.sg/about-us/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/about-us/index.html	(from https://www.lumchang.com.sg/)
20:26:44	66219/66219	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2015:28:01%20GMT	https://www.lumchang.com.sg/about-us/significant-milestones/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/about-us/significant-milestones/index.html	(from https://www.lumchang.com.sg/)
20:26:45	316655/316655	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Nov%202022%2002:54:43%20GMT	https://www.lumchang.com.sg/wp-content/uploads/2022/11/URA2022.jpg	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/uploads/2022/11/URA2022.jpg	(from https://www.lumchang.com.sg/)
20:26:45	100430/100430	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2008:55:36%20GMT	https://www.lumchang.com.sg/about-us/our-board-management/board-of-directors/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/about-us/our-board-management/board-of-directors/index.html	(from https://www.lumchang.com.sg/)
20:26:46	647859/647859	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Nov%202022%2003:43:12%20GMT	https://www.lumchang.com.sg/wp-content/uploads/2022/11/BCA-Awards-2022-WNC.png	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/uploads/2022/11/BCA-Awards-2022-WNC.png	(from https://www.lumchang.com.sg/)
20:26:46	71388/71388	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2009:53:29%20GMT	https://www.lumchang.com.sg/about-us/significant-awards-accreditation/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/about-us/significant-awards-accreditation/index.html	(from https://www.lumchang.com.sg/)
20:26:48	59348/59348	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2015:28:04%20GMT	https://www.lumchang.com.sg/about-us/downloads/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/about-us/downloads/index.html	(from https://www.lumchang.com.sg/)
20:26:48	62898/62898	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2015:28:04%20GMT	https://www.lumchang.com.sg/about-us/partners/	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/about-us/partners/index.html	(from https://www.lumchang.com.sg/)
20:26:50	613323/613323	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Nov%202022%2003:43:07%20GMT	https://www.lumchang.com.sg/wp-content/uploads/2022/11/BCA-Awards-2022-PSA.png	C:/My%20Web%20Sites/Lum_chang/www.lumchang.com.sg/wp-content/uploads/2022/11/BCA-Awards-2022-PSA.png	(from https://www.lumchang.com.sg/)
